Group,Subgroup,Language,State,Speakers,Margin of Error (Number of Speakers),"Speak English less than ""Very Well""",Margin of Error (Speak English Less than Very Well)
ENGLISH,English,English,North Dakota,610268,1260,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,North Dakota,9190,582,2015,325
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,North Dakota,895,177,195,90
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,North Dakota,40,30,35,28
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,North Dakota,246,145,16,25
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,North Dakota,160,88,30,22
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,North Dakota,8540,586,1610,204
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,North Dakota,40,39,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,North Dakota,30,32,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,North Dakota,80,55,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,North Dakota,100,63,10,11
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,North Dakota,50,30,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,North Dakota,1425,203,170,52
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,North Dakota,95,50,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,North Dakota,96,86,24,27
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,North Dakota,746,295,306,139
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,North Dakota,185,80,21,13
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,North Dakota,560,303,140,93
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,North Dakota,80,83,55,61
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,North Dakota,170,66,20,16
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,North Dakota,490,160,160,142
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,North Dakota,85,116,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,North Dakota,46,37,35,34
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,North Dakota,262,149,44,47
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,North Dakota,79,67,35,34
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,North Dakota,196,181,7,12
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,North Dakota,20,22,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,North Dakota,100,105,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,North Dakota,260,157,190,155
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,North Dakota,240,222,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Hawaiian Pidgin,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,North Dakota,50,36,25,24
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,North Dakota,35,54,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,North Dakota,45,48,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,North Dakota,1060,252,755,216
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,North Dakota,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,North Dakota,55,57,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,North Dakota,391,184,225,146
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,North Dakota,238,105,134,77
